,participants,variables
296,P01,-5.4006840925134725
297,P01,-1.731397694180174
298,P01,0.7887174644190083
299,P01,2.0838407930669405
300,P01,2.0986976939220767
301,P01,0.8886512725371603
302,P01,-0.30891313586371894
303,P01,10.171542968155478
304,P01,7.784932271342555
305,P01,4.252940065098187
306,P01,-0.3248414134941413
307,P01,-5.699884531239064
308,P01,-11.476196625642373
309,P01,-12.31174513795682
310,P01,-11.08007221530498
311,P01,-9.819304065532563
312,P01,-8.68459551799738
313,P01,-7.7864510845836605
314,P01,-7.187737994080905
315,P01,-6.911227337568107
316,P01,-6.931576296115452
317,P01,-7.1781533350924605
318,P01,-7.553032128822423
319,P01,-7.940423110498131
320,P01,-8.22241658680251
321,P01,-8.330472460306197
322,P01,-8.219357260763331
323,P01,-7.870328315164969
324,P01,-7.278938888175077
325,P01,-6.457714129633857
326,P01,-5.406618597421783
327,P01,-4.156889618208737
328,P01,-2.785999527263968
329,P01,-1.4150898839233435
330,P01,-0.22734301660851486
331,P01,0.602814864371851
332,P01,0.9342944520133329
333,P01,0.6475776810341927
334,P01,-0.27746027806998086
335,P01,-1.7952392681095972
336,P01,-3.906648553167173
337,P01,-6.521780398525209
338,P01,-9.187752738702756
339,P01,-11.373547260666115
340,P01,-12.755896843499826
341,P01,-13.227842471913704
342,P01,-12.966527320055746
343,P01,-12.251558562786215
344,P01,-11.352680217837062
345,P01,-10.457669281606854
346,P01,-9.663447675121205
347,P01,-9.006832196432512
348,P01,-8.464501266330075
349,P01,-7.922216372046734
350,P01,-7.25574381242167
351,P01,-6.3817605236335595
352,P01,-5.249735631548347
353,P01,-3.9361520754547428
354,P01,-2.6334362771103486
355,P01,-1.5768801272078008
356,P01,-1.0219458817527425
357,P01,-1.1849526633328225
358,P01,-2.1387674615498042
359,P01,-3.7579902968585372
360,P01,-5.750396028762523
361,P01,-7.750586893076644
362,P01,-9.419031081907292
363,P01,-10.513449464557326
364,P01,-11.005235989875956
365,P01,-11.024750283437456
366,P01,-10.782696895127515
367,P01,-10.380781830271985
368,P01,-9.91787356199832
369,P01,-9.495270613000045
370,P01,-9.222396664268402
371,P01,-9.260760397392886
372,P01,-9.720787915605456
373,P01,-10.690239112070941
374,P01,-12.244425197813882
375,P01,-14.28465802640774
376,P01,-16.705863687318896
377,P01,-19.332437708771778
378,P01,-21.876926262065368
379,P01,-23.999245090008984
380,P01,-25.399241509760103
381,P01,-25.796597020482537
382,P01,-25.103187794785356
383,P01,-23.602976863412096
384,P01,-21.668564813392038
385,P01,-19.64823533280925
386,P01,-17.750470972989447
387,P01,-16.069311412897093
388,P01,-14.65055859389497
389,P01,-13.55253128292199
390,P01,-12.704346845858012
391,P01,-12.01361714465446
392,P01,-11.357401063453366
393,P01,-10.667725746054373
394,P01,-9.946721307359581
395,P01,-9.297822441992793
396,P01,-8.84545302001878
397,P01,-8.681090162822443
398,P01,-7.301522415001813
399,P01,-4.160893107874969
400,P01,-1.8431070689187123
401,P01,-0.4460783587762336
402,P01,-0.10314003131553307
403,P01,-0.41086389167470827
404,P01,2.2465168293234683
405,P01,-0.06059762133112656
406,P01,-3.540130911518034
407,P01,-7.975883469540776
408,P01,-12.772746099541337
409,P01,-17.398545902034485
410,P01,-19.020159014110504
411,P01,-18.165275583150446
412,P01,-17.30423153256963
413,P01,-16.650589612164737
414,P01,-16.31341803432538
415,P01,-16.316401253042912
416,P01,-16.590424596558194
417,P01,-17.056624239927615
418,P01,-17.609326040604373
419,P01,-18.13943217094915
420,P01,-18.54229063070065
421,P01,-18.719584582959442
422,P01,-18.510193840618285
423,P01,-17.738556756562687
424,P01,-16.249441883880607
425,P01,-13.985407923293607
426,P01,-10.86902656293718
427,P01,-6.999243732565674
428,P01,-2.623626012489126
429,P01,1.6592057576370394
430,P01,5.100925879323853
431,P01,7.174309619232474
432,P01,7.758952689295313
433,P01,7.068559826752647
434,P01,5.272123605987957
435,P01,2.652569087631278
436,P01,-0.710149932832735
437,P01,-4.75246751301502
438,P01,-9.245088933666551
439,P01,-13.477931229948709
440,P01,-16.59657568444655
441,P01,-18.214495906109264
442,P01,-18.436772728484726
443,P01,-17.679746543307772
444,P01,-16.473793414149526
445,P01,-15.206371832615602
446,P01,-14.068269775477859
447,P01,-13.09274299578857
448,P01,-12.206567792919046
449,P01,-11.296466028986629
450,P01,-10.30365821653426
451,P01,-9.223745648589968
452,P01,-8.123465543728798
453,P01,-7.083836179536235
454,P01,-6.190535192112719
455,P01,-5.473231024271769
